Title, Author, Page/Location, Clippings
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 79, "Instead, “disciplined” people are better at structuring their lives in a way that does not require heroic willpower and self-control."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 79, "perseverance, grit, and willpower are essential to success, but the way to improve these qualities is not by wishing you were a more disciplined person, but by creating a more disciplined environment."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 79, "Once a habit has been encoded, the urge to act follows whenever the environmental cues reappear."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 80, "autocatalytic: the process feeds itself."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 80, "“cue-induced wanting”: an external trigger causes a compulsive craving to repeat a bad habit."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 80, "line: You can break a habit, but you’re unlikely to forget it."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 80, "To put it bluntly, I have never seen someone consistently stick to positive habits in a negative environment."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 80, "One of the most practical ways to eliminate a bad habit is to reduce exposure to the cue that causes it."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 81, "Rather than make it obvious, you can make it invisible."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 81, "Self-control is a short-term strategy, not a long-term one."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 81, "This is the secret to self-control. Make the cues of your good habits obvious and the cues of your bad habits invisible."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 85, "Scientists refer to these exaggerated cues as supernormal stimuli."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 86, "Entire departments are dedicated to optimizing"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 86, "how a product feels in your mouth—a quality known as orosensation."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 86, "Entire departments are dedicated to optimizing"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 86, "Other processed foods enhance dynamic contrast, which refers to items with a combination of sensations, like crunchy and creamy."
